ID,Player Hands,Dealer Hand,Result
1,"Player 1: 7, J, Player 2: 2, A, Player 3: Q, 2, Player 4: 3, 9, Player 5: K, 6","Dealer's hand: 5, K, 10 | Total: 25","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
12,"Player 1: Q, 7, Player 2: 7, A, Player 3: Q, 4, Player 4: 2, 4, 5, 5, Player 5: 4, K","Dealer's hand: 5, Q, 4 | Total: 19","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
13,"Player 1: 6, 6, 6, Player 2: 7, 2, K, Player 3: 8, J, Player 4: 3, Q, J, Player 5: 7, K","Dealer's hand: A, 10 | Total: 21","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
14,"Player 1: 10, J, Player 2: 8, 6, Player 3: 8, 8, Player 4: 5, K, Player 5: 2, Q","Dealer's hand: 5, K, 5 | Total: 20","Player 1 ties with the dealer., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
15,"Player 1: 10, 6, 9, Player 2: 7, J, Player 3: 2, 2, 9, 6, Player 4: 5, 8, 10, Player 5: 4, 6, Q","Dealer's hand: A, K | Total: 21","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
16,"Player 1: 5, 7, 9, Player 2: 2, 8, 8, Player 3: J, 10, Player 4: 5, K, 7, Player 5: 7, 9, 9","Dealer's hand: 2, 10, 8 | Total: 20","Player 1 wins!, Player 2 loses., Player 3 ties with the dealer., Player 4 loses., Player 5 loses."
17,"Player 1: 2, K, Player 2: 5, 3, 10, Player 3: 10, 9, Player 4: 3, Q, Player 5: A, 5","Dealer's hand: 5, 6, 7 | Total: 18","Player 1 loses., Player 2 ties with the dealer., Player 3 wins!, Player 4 loses., Player 5 loses."
18,"Player 1: 2, 8, 10, Player 2: Q, A, Player 3: 6, 2, J, Player 4: 3, 7, 8, Player 5: 3, 4, J","Dealer's hand: K, 4, 3 | Total: 17","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 ties with the dealer."
19,"Player 1: 8, 4, 10, Player 2: 5, 5, 8, Player 3: Q, 6, A, Player 4: J, 9, Player 5: 2, 6, A","Dealer's hand: 7, 8, A, Q | Total: 26","Player 1 loses., Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
20,"Player 1: A, 2, 9, 6, Player 2: 3, J, 4, Player 3: 3, 10, 2, J, Player 4: 7, Q, Player 5: 8, 2, A","Dealer's hand: 3, 10, K | Total: 23","Player 1 wins!, Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 wins!"
21,"Player 1: 9, 6, Player 2: A, J, Player 3: 5, 8, Player 4: K, K, Player 5: Q, 4","Dealer's hand: 6, 4, 6, 9 | Total: 25","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
22,"Player 1: 4, 4, 2, 4, K, Player 2: 8, 8, 7, Player 3: 6, J, 2, Player 4: 8, Q, Player 5: 6, 8, K","Dealer's hand: 7, 6, A, 3 | Total: 17","Player 1 loses., Player 2 loses., Player 3 wins!, Player 4 wins!, Player 5 loses."
23,"Player 1: 2, 3, 4, 8, Player 2: 3, 9, A, 10, Player 3: K, 7, Player 4: 2, 8, J, Player 5: Q, K","Dealer's hand: A, 9 | Total: 20","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 ties with the dealer., Player 5 ties with the dealer."
24,"Player 1: 6, 8, Player 2: 9, 8, Player 3: K, 4, Player 4: Q, 7, Player 5: K, Q","Dealer's hand: 6, 2, 3, 4, 7 | Total: 22","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
25,"Player 1: 4, J, Player 2: 3, 8, 5, Player 3: 2, 3, 10, Player 4: 10, 4, Player 5: 5, K","Dealer's hand: 4, 8, 7 | Total: 19","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
26,"Player 1: K, 3, 4, Player 2: 7, 5, 6, Player 3: 7, 10, Player 4: Q, 5, K, Player 5: 6, 7, 6","Dealer's hand: 3, 2, 4, 2, J | Total: 21","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
27,"Player 1: K, Q, Player 2: 9, 7, 8, Player 3: 5, 8, 9, Player 4: J, 2, 3, 2, Player 5: Q, 8","Dealer's hand: A, 6 | Total: 17","Player 1 wins!, Player 2 loses., Player 3 loses., Player 4 ties with the dealer., Player 5 wins!"
28,"Player 1: 7, Q, Player 2: 3, 9, 7, Player 3: 4, 10, 5, Player 4: J, A, Player 5: Q, 6, 9","Dealer's hand: 8, A | Total: 19","Player 1 loses., Player 2 ties with the dealer., Player 3 ties with the dealer., Player 4 wins!, Player 5 loses."
29,"Player 1: K, 10, Player 2: 5, 6, 6, Player 3: J, 7, Player 4: 7, 5, Player 5: 8, 7","Dealer's hand: 5, 7, 9 | Total: 21","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
30,"Player 1: J, 4, Player 2: 6, 8, Player 3: K, 3, Player 4: 10, 2, Player 5: 9, Q","Dealer's hand: 5, 9, 3 | Total: 17","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 wins!"
31,"Player 1: 6, 7, K, Player 2: 6, Q, 2, Player 3: 5, 3, K, Player 4: 2, Q, K, Player 5: 8, 2, K","Dealer's hand: 9, 4, A, 10 | Total: 24","Player 1 loses., Player 2 wins!, Player 3 wins!, Player 4 loses., Player 5 wins!"
32,"Player 1: K, 9, Player 2: 5, Q, 2, Player 3: 8, A, Player 4: K, J, Player 5: 4, 8, Q","Dealer's hand: 9, J | Total: 19","Player 1 ties with the dealer., Player 2 loses., Player 3 ties with the dealer., Player 4 wins!, Player 5 loses."
33,"Player 1: 4, 9, 9, Player 2: K, 7, Player 3: 7, 5, 5, Player 4: 5, 10, 3, Player 5: 9, 6, 8","Dealer's hand: A, 7 | Total: 18","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 ties with the dealer., Player 5 loses."
34,"Player 1: 2, Q, Player 2: 3, 3, J, Player 3: Q, K, Player 4: K, J, Player 5: 7, 2, 7","Dealer's hand: 5, 2, 9, 6 | Total: 22","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
35,"Player 1: 8, 9, Player 2: Q, 7, Player 3: 9, 7, Q, Player 4: 8, 10, Player 5: 6, 7, A, 6","Dealer's hand: 2, Q, 7 | Total: 19","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 wins!"
36,"Player 1: 10, 9, Player 2: 9, A, Player 3: 8, A, Player 4: 9, Q, Player 5: 7, 6, 6","Dealer's hand: 3, Q, K | Total: 23","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
37,"Player 1: 3, Q, K, Player 2: 3, 10, A, 4, Player 3: Q, 2, 5, Player 4: J, A, Player 5: 3, Q, 10","Dealer's hand: 10, 9 | Total: 19","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 wins!, Player 5 loses."
38,"Player 1: 4, J, Q, Player 2: 10, K, Player 3: 3, 3, 5, 6, Player 4: A, A, 8, Player 5: 4, 10, 9","Dealer's hand: 10, 8 | Total: 18","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 loses."
39,"Player 1: J, A, Player 2: 8, 9, Player 3: 7, 4, 3, 8, Player 4: 6, 6, A, 7, Player 5: A, 6","Dealer's hand: 9, 4, A, 9 | Total: 23","Player 1 wins!, Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 wins!"
40,"Player 1: 7, 3, K, Player 2: 9, A, Player 3: J, 7, Player 4: J, Q, Player 5: A, 3, 10, Q","Dealer's hand: Q, 8 | Total: 18","Player 1 wins!, Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 loses."
41,"Player 1: A, Q, Player 2: 4, 3, 7, 5, Player 3: 3, Q, 4, Player 4: 9, 5, 9, Player 5: 2, J, J","Dealer's hand: 2, J, 6 | Total: 18","Player 1 wins!, Player 2 wins!, Player 3 loses., Player 4 loses., Player 5 loses."
42,"Player 1: 4, 3, A, Player 2: 2, 5, 9, 3, Player 3: J, A, Player 4: 9, 9, Player 5: 7, 7, 7","Dealer's hand: A, 2, A, A, 10, A, 10 | Total: 26","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
43,"Player 1: 8, 7, 8, Player 2: Q, Q, Player 3: 2, 5, 3, 6, 10, Player 4: 5, 8, 9, Player 5: 2, 5, 9, 10","Dealer's hand: 7, 6, 5 | Total: 18","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 loses., Player 5 loses."
44,"Player 1: 10, 7, Player 2: 5, 6, 5, Q, Player 3: Q, 9, Player 4: Q, 6, 2, Player 5: J, 8","Dealer's hand: 9, 7, K | Total: 26","Player 1 wins!, Player 2 loses., Player 3 wins!, Player 4 wins!, Player 5 wins!"
45,"Player 1: 6, 5, 8, Player 2: 5, 6, J, Player 3: 9, Q, Player 4: 9, Q, Player 5: 4, 7, J","Dealer's hand: Q, 8 | Total: 18","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
46,"Player 1: 5, 6, K, Player 2: 10, 5, 7, Player 3: 8, A, Player 4: 10, 6, Q, Player 5: 6, 9, J","Dealer's hand: 2, A, Q, 5 | Total: 18","Player 1 wins!, Player 2 loses., Player 3 wins!, Player 4 loses., Player 5 loses."
47,"Player 1: 5, 9, 6, Player 2: J, A, Player 3: A, 3, 9, 7, Player 4: 9, 7, 7, Player 5: 10, J","Dealer's hand: 3, 4, 2, A | Total: 20","Player 1 ties with the dealer., Player 2 wins!, Player 3 ties with the dealer., Player 4 loses., Player 5 ties with the dealer."
48,"Player 1: 4, K, 6, Player 2: 7, 3, Q, Player 3: A, 3, Q, 5, Player 4: 2, 10, K, Player 5: 5, 10, 3","Dealer's hand: 7, 8, 6 | Total: 21","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
49,"Player 1: 2, K, 4, 4, Player 2: 10, J, Player 3: Q, K, Player 4: Q, A, Player 5: 4, 2, 3, 2, 5, K","Dealer's hand: 7, 6, J | Total: 23","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 loses."
50,"Player 1: 8, Q, Player 2: 3, 8, 7, Player 3: 4, 9, 9, Player 4: 7, K, Player 5: 5, 3, 10","Dealer's hand: 10, J | Total: 20","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
51,"Player 1: Q, K, Player 2: 4, 3, 10, Player 3: 6, 7, Player 4: Q, 10, Player 5: A, J","Dealer's hand: 6, J, 8 | Total: 24","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
52,"Player 1: K, 7, Player 2: 2, 5, 9, 4, Player 3: A, 3, Q, 8, Player 4: 10, K, Player 5: 4, K, Q","Dealer's hand: K, 7 | Total: 17","Player 1 ties with the dealer., Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 loses."
53,"Player 1: 9, J, Player 2: 8, 4, Player 3: 6, K, Player 4: 5, 2, K, Player 5: J, 6","Dealer's hand: 4, A, J, 3 | Total: 18","Player 1 wins!, Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
54,"Player 1: 8, 2, Q, Player 2: 3, 7, 2, J, Player 3: K, 2, 6, Player 4: 5, K, 3, Player 5: A, J","Dealer's hand: A, 5, 10, 10 | Total: 26","Player 1 wins!, Player 2 loses., Player 3 wins!, Player 4 wins!, Player 5 wins!"
55,"Player 1: 10, Q, Player 2: 8, Q, Player 3: K, 10, Player 4: 5, J, 9, Player 5: 9, 4, 4","Dealer's hand: 3, J, 4 | Total: 17","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 loses., Player 5 ties with the dealer."
56,"Player 1: 8, 4, 9, Player 2: 2, 2, 5, Q, Player 3: 3, 10, 5, Player 4: Q, 3, 2, 3, Player 5: J, 9","Dealer's hand: J, 5, 7 | Total: 22","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
57,"Player 1: J, 3, 7, Player 2: K, A, Player 3: 5, 5, 2, 4, Q, Player 4: 6, 9, 8, Player 5: K, 7","Dealer's hand: 9, 10 | Total: 19","Player 1 wins!, Player 2 wins!, Player 3 loses., Player 4 loses., Player 5 loses."
58,"Player 1: A, Q, Player 2: 10, J, Player 3: 8, 7, 5, Player 4: 5, 6, J, Player 5: 3, 10, 4","Dealer's hand: K, 7 | Total: 17","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 ties with the dealer."
59,"Player 1: 2, A, 3, 3, Player 2: A, 7, Player 3: 7, 5, 4, 6, Player 4: 4, 3, Q, Player 5: 8, 8, K","Dealer's hand: 7, Q | Total: 17","Player 1 wins!, Player 2 wins!, Player 3 loses., Player 4 ties with the dealer., Player 5 loses."
60,"Player 1: 8, Q, Player 2: 10, 4, Player 3: K, 5, Player 4: 7, 6, Player 5: 10, K","Dealer's hand: 6, 7, Q | Total: 23","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
61,"Player 1: 8, A, Player 2: 6, 2, 7, 9, Player 3: 5, 4, 8, Player 4: 9, 4, 5, Player 5: 10, 10","Dealer's hand: A, 5, 10, 3 | Total: 19","Player 1 ties with the dealer., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 wins!"
62,"Player 1: 10, 2, Player 2: 9, 3, Player 3: 4, A, Player 4: A, 4, Player 5: J, J","Dealer's hand: 6, 2, 6, K | Total: 24","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
63,"Player 1: 6, 5, A, 4, J, Player 2: Q, 8, Player 3: 6, 4, A, Player 4: 5, J, 8, Player 5: K, Q","Dealer's hand: J, 3, 6 | Total: 19","Player 1 loses., Player 2 loses., Player 3 wins!, Player 4 loses., Player 5 wins!"
64,"Player 1: J, K, Player 2: A, Q, Player 3: 6, J, Player 4: 2, 2, 5, 8, Player 5: Q, 5","Dealer's hand: 6, 6, 4, 8 | Total: 24","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
65,"Player 1: Q, 5, Player 2: J, A, Player 3: 10, 7, Player 4: 6, 2, 7, Player 5: 5, 8","Dealer's hand: 6, J, 8 | Total: 24","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
66,"Player 1: 8, Q, Player 2: 10, J, Player 3: K, 5, 5, Player 4: 6, 10, 2, Player 5: 4, 8, 3, A, 9","Dealer's hand: 7, K | Total: 17","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 loses."
67,"Player 1: 6, 9, J, Player 2: Q, 5, 5, Player 3: 9, 9, Player 4: K, Q, Player 5: J, Q","Dealer's hand: 2, 3, 4, Q | Total: 19","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 wins!"
68,"Player 1: 10, 4, A, 10, Player 2: K, 9, Player 3: 2, 9, 5, 7, Player 4: K, 9, Player 5: 5, 4, J","Dealer's hand: J, 2, 5 | Total: 17","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 wins!"
69,"Player 1: 3, 7, 6, Player 2: 4, 2, Q, Player 3: J, 5, Player 4: K, J, Player 5: 6, 2, 6","Dealer's hand: 5, 10, Q | Total: 25","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
70,"Player 1: 10, 6, J, Player 2: 6, 6, 8, Player 3: Q, K, Player 4: K, 7, Player 5: 10, 8","Dealer's hand: 8, 10 | Total: 18","Player 1 loses., Player 2 wins!, Player 3 wins!, Player 4 loses., Player 5 ties with the dealer."
71,"Player 1: 5, 2, K, Player 2: Q, 8, Player 3: 3, 6, 2, 4, 4, Player 4: 3, K, 3, 10, Player 5: 9, Q","Dealer's hand: J, 9 | Total: 19","Player 1 loses., Player 2 loses., Player 3 ties with the dealer., Player 4 loses., Player 5 ties with the dealer."
72,"Player 1: 5, 4, A, Player 2: Q, K, Player 3: 10, A, Player 4: 5, 6, 9, Player 5: 8, 2, 2, 7","Dealer's hand: 3, 10, 6 | Total: 19","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 ties with the dealer."
73,"Player 1: 9, 8, Player 2: J, 10, Player 3: A, Q, Player 4: 2, J, K, Player 5: 5, 4, 9","Dealer's hand: Q, 7 | Total: 17","Player 1 ties with the dealer., Player 2 wins!, Player 3 wins!, Player 4 loses., Player 5 wins!"
74,"Player 1: 2, 10, 4, 9, Player 2: 3, 8, 9, Player 3: 4, 8, A, Q, Player 4: K, A, Player 5: 5, 4, 4, 10","Dealer's hand: 7, A | Total: 18","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 loses."
75,"Player 1: 6, 4, 5, 8, Player 2: 10, Q, Player 3: 10, Q, Player 4: 4, 3, 9, J, Player 5: 6, 9, 5","Dealer's hand: K, 9 | Total: 19","Player 1 loses., Player 2 wins!, Player 3 wins!, Player 4 loses., Player 5 wins!"
76,"Player 1: 9, J, Player 2: 7, 6, 3, A, Player 3: 3, 8, 2, 9, Player 4: 4, 10, 4, Player 5: 8, 5, 6","Dealer's hand: 10, 3, 4 | Total: 17","Player 1 wins!, Player 2 ties with the dealer., Player 3 loses., Player 4 wins!, Player 5 wins!"
77,"Player 1: 5, J, 8, Player 2: 9, K, Player 3: 2, K, A, J, Player 4: 8, 5, 2, 6, Player 5: 8, 3, 5, 7","Dealer's hand: 7, 4, 7 | Total: 18","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 loses."
78,"Player 1: J, Q, Player 2: 7, 2, 6, 7, Player 3: 4, 5, A, Player 4: 7, 4, 6, Player 5: K, 2, 6","Dealer's hand: 7, 9, 9 | Total: 25","Player 1 wins!, Player 2 loses., Player 3 wins!, Player 4 wins!, Player 5 wins!"
79,"Player 1: 4, 6, 2, 9, Player 2: 2, 7, 3, 7, Player 3: Q, Q, Player 4: 9, 7, A, Player 5: 5, 3, J","Dealer's hand: 8, 8, A | Total: 17","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 ties with the dealer., Player 5 wins!"
80,"Player 1: 3, 9, 4, 4, Player 2: 3, 6, 7, Q, Player 3: 6, 3, 5, J, Player 4: A, 4, 9, 5, Player 5: A, 2, K, J","Dealer's hand: 2, K, J | Total: 22","Player 1 wins!, Player 2 loses., Player 3 loses., Player 4 wins!, Player 5 loses."
81,"Player 1: A, 3, J, 9, Player 2: 9, K, Player 3: Q, 6, 10, Player 4: 8, 3, 10, Player 5: A, A, Q, K","Dealer's hand: 10, 4, 8 | Total: 22","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 wins!, Player 5 loses."
82,"Player 1: Q, 3, Player 2: K, Q, Player 3: A, 4, Player 4: 2, 2, 7, A, Player 5: K, 4","Dealer's hand: 6, A | Total: 17","Player 1 loses., Player 2 wins!, Player 3 loses., Player 4 loses., Player 5 loses."
83,"Player 1: 10, K, Player 2: 5, K, 6, Player 3: 3, 4, 4, 6, Player 4: A, 10, Player 5: 9, 5, 7","Dealer's hand: 9, 7, Q | Total: 26","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
84,"Player 1: 7, 2, A, Player 2: A, K, Player 3: 3, 2, 6, 8, Player 4: A, A, Player 5: 6, J","Dealer's hand: 5, 10, 6 | Total: 21","Player 1 loses., Player 2 ties with the dealer., Player 3 loses., Player 4 loses., Player 5 loses."
85,"Player 1: 2, J, 3, 8, Player 2: J, J, Player 3: 7, 10, Player 4: Q, 2, Q, Player 5: 7, Q","Dealer's hand: A, 9 | Total: 20","Player 1 loses., Player 2 ties with the dealer., Player 3 loses., Player 4 loses., Player 5 loses."
86,"Player 1: 3, J, 6, Player 2: 5, 10, 8, Player 3: 4, 4, Q, Player 4: 9, A, Player 5: 7, 4, 8","Dealer's hand: 3, J, 4 | Total: 17","Player 1 wins!, Player 2 loses., Player 3 wins!, Player 4 wins!, Player 5 wins!"
87,"Player 1: 3, 3, 3, 4, K, Player 2: 3, 2, J, A, 6, Player 3: J, 4, Q, Player 4: Q, 3, K, Player 5: 10, K","Dealer's hand: 8, 4, A, 9 | Total: 22","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 wins!"
88,"Player 1: A, K, Player 2: 9, 4, 9, Player 3: 2, 6, 6, A, J, Player 4: 8, 8, K, Player 5: K, 10","Dealer's hand: J, 5, A, 7 | Total: 23","Player 1 wins!, Player 2 loses., Player 3 loses., Player 4 loses., Player 5 wins!"
89,"Player 1: 2, 5, Q, Player 2: 2, 3, K, 2, Player 3: A, 6, Player 4: 2, 10, K, Player 5: A, K","Dealer's hand: 10, 7 | Total: 17","Player 1 ties with the dealer., Player 2 ties with the dealer., Player 3 ties with the dealer., Player 4 loses., Player 5 wins!"
90,"Player 1: K, 8, Player 2: J, 6, Player 3: K, 10, Player 4: A, 7, Player 5: 10, 4","Dealer's hand: 5, 7, 4, 5 | Total: 21","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
91,"Player 1: 2, J, 7, Player 2: 8, 8, A, Player 3: 8, 4, J, Player 4: 5, 5, 2, J, Player 5: 4, 6, 6, K","Dealer's hand: 9, 7, 2 | Total: 18","Player 1 wins!, Player 2 loses., Player 3 loses., Player 4 loses., Player 5 loses."
92,"Player 1: 10, K, Player 2: 4, 8, Player 3: 3, 5, K, Player 4: Q, 3, Player 5: A, A","Dealer's hand: 5, 9, Q | Total: 24","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
93,"Player 1: 2, 10, 7, Player 2: 9, 4, J, Player 3: J, 3, 3, A, Player 4: 5, 8, 2, A, 7, Player 5: 4, 4, A","Dealer's hand: Q, 7 | Total: 17","Player 1 wins!, Player 2 loses., Player 3 ties with the dealer., Player 4 loses., Player 5 wins!"
94,"Player 1: 3, 2, 8, Player 2: 6, 7, Player 3: 4, J, Player 4: K, 5, Player 5: 3, J","Dealer's hand: 4, Q, 8 | Total: 22","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
95,"Player 1: A, 4, Q, 9, Player 2: 9, K, Player 3: 2, 2, 7, 10, Player 4: K, J, Player 5: 5, 9, 6","Dealer's hand: 2, 5, K | Total: 17","Player 1 loses., Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
96,"Player 1: J, 8, Player 2: K, A, Player 3: K, 7, Player 4: 10, Q, Player 5: 2, 9, 6","Dealer's hand: 4, J, 2, J | Total: 26","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
97,"Player 1: 2, Q, A, 5, Player 2: Q, 3, 8, Player 3: K, K, Player 4: K, 10, Player 5: 10, 6, 8","Dealer's hand: 2, A, Q, 3, 8 | Total: 24","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 loses."
98,"Player 1: 4, 2, 7, Q, Player 2: A, 6, Player 3: 4, A, 3, Player 4: 6, 2, 3, K, Player 5: 8, 2, 2, Q","Dealer's hand: 10, 3, 8 | Total: 21","Player 1 loses., Player 2 loses., Player 3 loses., Player 4 ties with the dealer., Player 5 loses."
99,"Player 1: A, 6, Player 2: 10, 6, 2, Player 3: 5, 5, J, Player 4: 7, J, Player 5: 10, K","Dealer's hand: 3, J, 10 | Total: 23","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
100,"Player 1: 3, 4, Q, Player 2: 6, 4, K, Player 3: A, 9, Player 4: J, 3, 2, J, Player 5: 5, Q, 2","Dealer's hand: 2, 7, A | Total: 20","Player 1 loses., Player 2 ties with the dealer., Player 3 ties with the dealer., Player 4 loses., Player 5 loses."
101,"Player 1: K, 9, Player 2: 10, 4, Player 3: J, J, Player 4: K, 7, Player 5: 6, 4, 10","Dealer's hand: 5, 7, 2, 9 | Total: 23","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 wins!"
102,"Player 1: K, K, Player 2: 2, 10, 6, Player 3: 9, Q, Player 4: 8, 10, Player 5: 10, 7","Dealer's hand: 2, 7, 8 | Total: 17","Player 1 wins!, Player 2 wins!, Player 3 wins!, Player 4 wins!, Player 5 ties with the dealer."
